Wavelength Extinction
254.0 62089.321997541265
254.5 61796.700891063396
255.0 61505.53550753711
255.5 61216.85819258478
256.0 60931.70129182882
256.5 60651.09715089159
257.0 60376.07811539552
257.5 60107.67653096296
258.0 59846.924743216325
258.5 59594.855097778
259.0 59352.49994027037
259.5 59120.891616315836
260.0 58901.0672972825
260.5 58694.083742855815
261.0 58501.00268218542
261.5 58322.88584442151
262.0 58160.79495871432
262.5 58015.79175421407
263.0 57888.93796007096
263.5 57781.29530543521
264.0 57693.92551945704
264.5 57627.89033128666
265.0 57584.25147007429
265.5 57563.9936991778
266.0 57566.75968853767
266.5 57591.05197093231
267.0 57635.33684164657
267.5 57698.08059596521
268.0 57777.749529173096
268.5 57872.809936555015
269.0 57981.72811339581
269.5 58102.970354980294
270.0 58235.00295659328
270.5 58376.292213519584
271.0 58525.30442104403
271.5 58680.50587445143
272.0 58840.36286902661
272.5 59003.341700054385
273.0 59167.90866281956
273.5 59332.53005260697
274.0 59495.672164701435
274.5 59655.80363107072
275.0 59811.78955530683
275.5 59963.33537774044
276.0 60110.25368638868
276.5 60252.35706926869
277.0 60389.458114397574
277.5 60521.36940979245
278.0 60647.903543470464
278.5 60768.87310344873
279.0 60884.090677744374
279.5 60993.36885437454
280.0 61096.52022135632
280.5 61193.357366706856
281.0 61283.69287844327
281.5 61367.339344582695
282.0 61444.109353142245
282.5 61513.81549213905
283.0 61576.270349590246
283.5 61631.28651351293
284.0 61678.676571924254
284.5 61718.253112841325
285.0 61749.82872428129
285.5 61773.21599426125
286.0 61788.227510798344
286.5 61794.67586190969
287.0 61792.37363561241
287.5 61781.133419923644
288.0 61760.76780286051
288.5 61731.089372440125
289.0 61691.91071667963
289.5 61643.05180461748
290.0 61584.58271523615
290.5 61516.87859773658
291.0 61440.333110538835
291.5 61355.33991206304
292.0 61262.29266072932
292.5 61161.585014957775
293.0 61053.6106331685
293.5 60938.763173781634
294.0 60817.436295217274
294.5 60690.02365589553
295.0 60556.91891423652
295.5 60418.51572866034
296.0 60275.207757587115
296.5 60127.388659436954
297.0 59975.45209262996
297.5 59819.79171558624
298.0 59660.80118672592
298.5 59498.8741644691
299.0 59334.40430723589
299.5 59167.78527344641
300.0 58999.41072152077
300.5 58829.674309879054
301.0 58658.969696941414
301.5 58487.69054112794
302.0 58316.23050085873
302.5 58144.98323455391
303.0 57974.3424006336
303.5 57804.701657517886
304.0 57636.4546636269
304.5 57469.99507738074
305.0 57305.71655719952
305.5 57144.01276150335
306.0 56985.27734871235
306.5 56829.90397724662
307.0 56678.28630552627
307.5 56530.81799197142
308.0 56387.77824973796
308.5 56248.705429172245
309.0 56112.84286411578
309.5 55979.43312896936
310.0 55847.7187981338
310.5 55716.94244600991
311.0 55586.3466469985
311.5 55455.17397550037
312.0 55322.66700591633
312.5 55188.0683126472
313.0 55050.620470093774
313.5 54909.566052656875
314.0 54764.147634737295
314.5 54613.607790735856
315.0 54457.189095053356
315.5 54294.13412209061
316.0 54123.685446248426
316.5 53945.0856419276
317.0 53757.57728352897
317.5 53560.402945453316
318.0 53352.80520210147
318.5 53134.02662787421
319.0 52903.30979717238
319.5 52660.11076365217
320.0 52404.785890646366
320.5 52137.92884031794
321.0 51860.13327606414
321.5 51571.99286128222
322.0 51274.101259369454
322.5 50967.052133723075
323.0 50651.439147740355
323.5 50327.85596481856
324.0 49996.896248354926
324.5 49659.15366174673
325.0 49315.2218683912
325.5 48965.69453168563
326.0 48611.16531502726
326.5 48252.22788181335
327.0 47889.475895441145
327.5 47523.503019307915
328.0 47154.90291681092
328.5 46784.26925134741
329.0 46412.19568631464
329.5 46039.27490721087
330.0 45666.07053990433
330.5 45293.11295254966
331.0 44920.93069099052
331.5 44550.05230107058
332.0 44181.00632863349
332.5 43814.32131952293
333.0 43450.52581958255
333.5 43090.14837465601
334.0 42733.717530587
334.5 42381.76183321915
335.0 42034.80982839613
335.5 41693.3900619616
336.0 41358.03107975924
336.5 41029.2614276327
337.0 40707.60965142565
337.5 40393.58958005441
338.0 40087.347234332345
338.5 39788.64376152392
339.0 39497.2221766762
339.5 39212.82549483623
340.0 38935.19673105107
340.5 38664.07890036778
341.0 38399.215017833405
341.5 38140.34809849501
342.0 37887.22115739963
342.5 37639.57720959435
343.0 37397.15927012619
343.5 37159.71035404223
344.0 36926.9734763895
344.5 36698.69165221508
345.0 36474.607896566005
345.5 36254.46522448934
346.0 36038.006651032134
346.5 35824.97519124145
347.0 35615.11386016433
347.5 35408.165672847834
348.0 35203.96945180921
348.5 35002.83579564747
349.0 34805.22027165318
349.5 34611.578486301165
350.0 34422.36604606616
350.5 34238.03855742298
351.0 34059.05162684637
351.5 33885.860860811146
352.0 33718.921865792065
352.5 33558.690248263905
353.0 33405.621614701464
353.5 33260.162255169234
354.0 33122.54827480714
354.5 32992.80784261635
355.0 32870.96026096126
355.5 32757.024832206305
356.0 32651.020858715878
356.5 32552.967642854397
357.0 32462.884486986262
357.5 32380.79069347589
358.0 32306.705564687687
358.5 32240.64840298607
359.0 32182.638510735436
359.5 32132.695190300205
360.0 32090.837744044777
360.5 32057.085474333573
361.0 32031.457683530993
361.5 32013.973674001445
362.0 32004.652748109347
362.5 32003.51420821911
363.0 32010.57735669513
363.5 32025.861495901823
364.0 32049.38592820361
364.5 32081.169955964884
365.0 32121.232881550062
365.5 32169.59400732355
366.0 32226.27263564977
366.5 32291.288068893115
367.0 32364.659609417995
367.5 32446.406559588835
368.0 32536.548221770034
368.5 32635.103898325997
369.0 32742.09289162114
369.5 32857.48244084798
370.0 32979.699003050315
370.5 33105.40928019346
371.0 33231.18387391754
371.5 33353.59338586266
372.0 33469.20841766899
372.5 33574.59957097663
373.0 33666.33744742571
373.5 33740.99264865636
374.0 33795.13577630873
374.5 33825.33743202291
375.0 33828.168217439066
375.5 33801.23747557192
376.0 33746.4747840574
376.5 33666.932726742176
377.0 33565.663889846706
377.5 33445.72085959145
378.0 33310.15622219687
378.5 33162.02256388343
379.0 33004.37247087161
379.5 32840.258529381856
380.0 32672.73332563464
380.5 32504.849445850417
381.0 32339.659476249657
381.5 32180.216003052825
382.0 32029.571612480384
382.5 31890.77889075279
383.0 31766.890424090514
383.5 31660.32236623003
384.0 31570.78843010336
384.5 31497.285158753675
385.0 31438.809089890317
385.5 31394.356761222625
386.0 31362.92471045995
386.5 31343.509475311625
387.0 31335.107593487
387.5 31336.715602695414
388.0 31347.33004064621
388.5 31365.947445048732
389.0 31391.56435361232
389.5 31423.177304046316
390.0 31459.782834060068
390.5 31500.37748136292
391.0 31543.957783664202
391.5 31589.52027867327
392.0 31636.06150409946
392.5 31682.57799765211
393.0 31728.066297040576
393.5 31771.52362073668
394.0 31811.979123709196
394.5 31848.50692386309
395.0 31880.18452110528
395.5 31906.0894153427
396.0 31925.299106482267
396.5 31936.891094430906
397.0 31939.942879095543
397.5 31933.53196038311
398.0 31916.735838200526
398.5 31888.632012454716
399.0 31848.297983052602
399.5 31794.811249901115
400.0 31727.24931290718
400.5 31644.68967197772
401.0 31546.209827019662
401.5 31430.887277939924
402.0 31297.79952464544
402.5 31146.02406704313
403.0 30974.638405039925
403.5 30782.72003854274
404.0 30569.3464674585
404.5 30333.595191694145
405.0 30074.631375255478
405.5 29793.770094610114
406.0 29494.55331209325
406.5 29180.626054792094
407.0 28855.633349793858
407.5 28523.220224185756
408.0 28187.031705055
408.5 27850.7128194888
409.0 27517.908594574365
409.5 27192.264057398912
410.0 26877.424235049653
410.5 26577.033822574067
411.0 26293.84327871873
411.5 26027.763457261597
412.0 25778.142862783698
412.5 25544.329999866062
413.0 25325.673373089718
413.5 25121.5214870357
414.0 24931.22284628504
414.5 24754.12595541876
415.0 24589.579319017896
415.5 24436.93144166348
416.0 24295.53082793654
416.5 24164.725982418106
417.0 24043.865409689206
417.5 23932.29761433088
418.0 23829.371100924145
418.5 23734.43437405004
419.0 23646.835938289598
419.5 23565.92429822384
420.0 23491.047958433803
420.5 23421.55542350052
421.0 23356.795198005013
421.5 23296.115786528317
422.0 23238.865693651464
422.5 23184.39342395548
423.0 23132.047482021397
423.5 23081.17637243025
424.0 23031.128599763066
424.5 22981.252668600875
425.0 22930.89708352471
425.5 22879.410349115595
426.0 22826.14096995457
426.5 22770.437450622652
427.0 22711.648295700885
427.5 22649.12200977029
428.0 22582.207097411905
428.5 22510.252063206754
429.0 22432.627635652898
429.5 22349.257707734316
430.0 22260.643736804064
430.5 22167.314286959285
431.0 22069.797922297108
431.5 21968.62320691467
432.0 21864.318704909114
432.5 21757.41298037757
433.0 21648.43459741718
433.5 21537.912120125075
434.0 21426.374112598394
434.5 21314.349138934278
435.0 21202.365763229853
435.5 21090.952549582264
436.0 20980.63806208865
436.5 20871.950864846138
437.0 20765.419521951873
437.5 20661.57259750299
438.0 20560.938655596623
438.5 20464.04626032991
439.0 20371.423975799986
439.5 20283.600366103994
440.0 20201.103995339065
440.5 20124.46342760233
441.0 20054.207226990937
441.5 19990.863957602018
442.0 19934.96218353271
442.5 19887.030464472096
443.0 19847.45097701717
443.5 19816.074077127258
444.0 19792.629382223542
444.5 19776.846509727216
445.0 19768.455077059472
445.5 19767.184701641498
446.0 19772.765000894484
446.5 19784.925592239626
447.0 19803.396093098116
447.5 19827.906120891137
448.0 19858.18529303988
448.5 19893.96322696554
449.0 19934.96954008931
449.5 19980.933849832378
450.0 20031.58577361593
450.5 20086.654928861164
451.0 20145.87093298927
451.5 20208.963403421432
452.0 20275.661957578843
452.5 20345.6962128827
453.0 20418.795786754188
453.5 20494.690296614503
454.0 20573.109359884824
454.5 20653.782593986354
455.0 20736.439616340278
455.5 20820.81004436779
456.0 20906.62349549008
456.5 20993.609587128332
457.0 21081.497936703745
457.5 21170.018161637512
458.0 21258.899879350814
458.5 21347.872707264843
459.0 21436.6662628008
459.5 21525.010163379862
460.0 21612.63402642323
460.5 21699.267469352093
461.0 21784.64010958764
461.5 21868.48156455106
462.0 21950.521451663546
462.5 22030.489388346286
463.0 22108.114992020477
463.5 22183.1278801073
464.0 22255.257670027953
