Wavelength Extinction
348.0 43769.70873669957
348.5 43474.317129634896
349.0 43178.94111486209
349.5 42884.3786602353
350.0 42591.427733608674
350.5 42300.88630283636
351.0 42013.552335772496
351.5 41730.22380027124
352.0 41451.69866418671
352.5 41178.77489537309
353.0 40912.2504616845
353.5 40652.92333097511
354.0 40401.59147109904
354.5 40159.05284991045
355.0 39926.10543526348
355.5 39703.54719501228
356.0 39492.176097011
356.5 39292.79009945009
357.0 39105.9092654248
357.5 38931.04895521537
358.0 38767.497548194784
358.5 38614.54342373605
359.0 38471.47496121218
359.5 38337.58053999615
360.0 38212.14853946097
360.5 38094.467338979644
361.0 37983.82531792517
361.5 37879.51085567054
362.0 37780.81233158876
362.5 37687.01812505282
363.0 37597.41661543573
363.5 37511.2961821105
364.0 37427.94520445011
364.5 37346.65206182756
365.0 37266.70513361586
365.5 37187.394785754754
366.0 37108.20703054241
366.5 37028.985899140316
367.0 36949.61364970397
367.5 36869.97254038885
368.0 36789.94482935044
368.5 36709.412774744225
369.0 36628.258634725695
369.5 36546.364667450325
370.0 36463.61313107362
370.5 36379.88628375103
371.0 36295.06638363807
371.5 36209.03568889022
372.0 36121.67645766294
372.5 36032.870948111755
373.0 35942.501418392116
373.5 35850.450126659525
374.0 35756.59933106946
374.5 35660.83128977742
375.0 35563.02826093886
375.5 35463.07237601837
376.0 35360.844601250166
376.5 35256.22527531073
377.0 35149.09473080773
377.5 35039.333300348844
378.0 34926.82131654173
378.5 34811.43911199406
379.0 34693.06701931351
379.5 34571.58537110774
380.0 34446.874499984435
380.5 34318.81473855124
381.0 34187.28641941584
381.5 34052.16987518589
382.0 33913.34543846908
382.5 33770.69344187307
383.0 33624.09421800552
383.5 33473.42809947411
384.0 33318.57541888651
384.5 33159.41650885038
385.0 32995.83259209174
385.5 32827.905187751894
386.0 32656.168533863583
386.5 32481.219038321837
387.0 32303.653109021732
387.5 32124.067153858316
388.0 31943.057580726643
388.5 31761.22079752178
389.0 31579.153212138775
389.5 31397.451232472686
390.0 31216.711266418573
390.5 31037.529721871495
391.0 30860.503006726507
391.5 30686.22752887866
392.0 30515.299696223014
392.5 30348.31591665463
393.0 30185.872598068563
393.5 30028.566148359867
394.0 29876.992975423607
394.5 29731.749487154826
395.0 29593.366497470714
395.5 29461.585486017615
396.0 29335.62566093156
396.5 29214.696921547635
397.0 29098.009167200908
397.5 28984.772297226442
398.0 28874.19621095932
398.5 28765.490807734604
399.0 28657.86598688738
399.5 28550.531647752705
400.0 28442.697689665656
400.5 28333.574011961307
401.0 28222.37051397473
401.5 28108.297095041
402.0 27990.56365449519
402.5 27868.38009167236
403.0 27740.956305907588
403.5 27607.502196535952
404.0 27467.37893339713
404.5 27320.77795882229
405.0 27168.174088955137
405.5 27010.04238264389
406.0 26846.857898736776
406.5 26679.095696082033
407.0 26507.230833527883
407.5 26331.73836992256
408.0 26153.093364114284
408.5 25971.770874951282
409.0 25788.24596128179
409.5 25602.993681954038
410.0 25416.487777442177
410.5 25229.165449601485
411.0 25041.423533325058
411.5 24853.656777079443
412.0 24666.25992933118
412.5 24479.627738546817
413.0 24294.154953192894
413.5 24110.236321735963
414.0 23928.266592642565
414.5 23748.640514379236
415.0 23571.752835412535
415.5 23397.998304209
416.0 23227.77166923517
416.5 23061.467678957593
417.0 22899.481081842816
417.5 22742.206626357376
418.0 22590.039060967825
418.5 22443.373134140704
419.0 22302.60359434256
419.5 22168.12519003993
420.0 22040.243469105742
420.5 21918.814947744504
421.0 21803.555160225667
421.5 21694.17959037268
422.0 21590.403722008985
422.5 21491.943038958034
423.0 21398.51302504328
423.5 21309.82916408817
424.0 21225.606939916142
424.5 21145.56183635065
425.0 21069.40933721515
425.5 20996.864926333088
426.0 20927.644087527904
426.5 20861.46230462305
427.0 20798.03506144198
427.5 20737.077841808135
428.0 20678.306129544966
428.5 20621.435408475925
429.0 20566.18116242445
429.5 20512.258875214004
430.0 20459.384030668025
430.5 20407.272112609964
431.0 20355.63860486327
431.5 20304.19899125139
432.0 20252.668755597773
432.5 20200.763381725865
433.0 20148.19835345912
433.5 20094.68915462098
434.0 20039.95866932807
434.5 19983.896491684493
435.0 19926.55700597405
435.5 19868.001612795964
436.0 19808.291712749487
436.5 19747.488706433858
437.0 19685.653994448312
437.5 19622.848977392092
438.0 19559.135055864437
438.5 19494.573630464594
439.0 19429.22610179179
439.5 19363.153870445276
440.0 19296.418337024286
440.5 19229.080902128066
441.0 19161.202966355846
441.5 19092.845930306878
442.0 19024.071194580392
442.5 18954.940159775637
443.0 18885.514226491847
443.5 18815.854795328265
444.0 18746.02078198781
444.5 18676.060103088254
445.0 18606.017632962852
445.5 18535.93824583907
446.0 18465.86681594437
446.5 18395.84821750621
447.0 18325.92732475205
447.5 18256.14901190936
448.0 18186.5581532056
448.5 18117.19962286823
449.0 18048.11829512471
449.5 17979.359044202512
450.0 17910.96674432909
450.5 17842.986269731908
451.0 17775.462494638425
451.5 17708.440293276108
452.0 17641.964539872417
452.5 17576.080108654816
453.0 17510.83187385077
453.5 17446.264709687734
454.0 17382.423490393176
454.5 17319.353090194556
455.0 17257.098383319328
455.5 17195.70424399497
456.0 17135.215545348627
456.5 17075.675678604337
457.0 17017.12362474762
457.5 16959.597548034068
458.0 16903.13561271927
458.5 16847.775983058822
459.0 16793.55682330831
459.5 16740.516297723327
460.0 16688.692570559462
460.5 16638.123806072304
461.0 16588.848168517445
461.5 16540.90382215048
462.0 16494.32893122699
462.5 16449.161660002577
463.0 16405.440172732822
463.5 16363.202633673318
464.0 16322.487207079655
464.5 16283.332057207428
465.0 16245.775348312223
465.5 16209.855244649632
466.0 16175.609910475248
466.5 16143.077510044655
467.0 16112.29620761345
467.5 16083.30416743722
468.0 16056.139553771556
468.5 16030.840530872048
469.0 16007.44526299429
469.5 15985.99191439387
470.0 15966.51864932638
470.5 15949.063632047404
471.0 15933.66502681254
471.5 15920.360997877375
472.0 15909.189709497501
472.5 15900.18932592851
473.0 15893.39801142599
473.5 15888.853930245532
474.0 15886.595246642724
474.5 15886.660124873162
475.0 15889.074861563791
475.5 15893.77784109484
476.0 15900.667965721237
476.5 15909.643949749347
477.0 15920.604507485523
477.5 15933.448353236114
478.0 15948.074201307481
478.5 15964.38076600598
479.0 15982.266761637959
479.5 16001.630902509776
480.0 16022.37190292779
480.5 16044.388477198352
481.0 16067.57933962782
481.5 16091.843204522545
482.0 16117.078786188884
482.5 16143.184798933193
483.0 16170.059957061825
483.5 16197.602974881134
484.0 16225.71256669748
484.5 16254.287446817212
485.0 16283.226329546693
485.5 16312.427929192268
486.0 16341.790960060298
486.5 16371.21413645714
487.0 16400.59617268914
487.5 16429.835783062663
488.0 16458.83168188406
488.5 16487.482583459685
489.0 16515.68720209589
489.5 16543.34425209904
490.0 16570.35244777548
490.5 16596.61050343157
491.0 16622.017133373665
491.5 16646.471051908116
492.0 16669.870973341283
492.5 16692.115611979516
493.0 16713.10368212917
493.5 16732.738320776767
494.0 16751.024808120193
494.5 16768.07080232341
495.0 16783.988431181562
495.5 16798.889822489786
496.0 16812.88710404322
496.5 16826.092403637005
497.0 16838.617849066275
497.5 16850.575568126173
498.0 16862.077688611836
498.5 16873.236338318402
499.0 16884.16364504101
499.5 16894.971736574804
500.0 16905.772740714914
500.5 16916.678785256485
501.0 16927.80199799465
501.5 16939.25450672456
502.0 16951.148439241337
502.5 16963.595923340134
503.0 16976.70908681608
503.5 16990.60005746432
504.0 17005.380963079988
504.5 17021.163931458224
505.0 17038.06109039417
505.5 17056.18456768296
506.0 17075.64649111974
506.5 17096.55898849964
507.0 17119.034187617806
507.5 17143.184201105123
508.0 17169.08378867709
508.5 17196.689976209378
509.0 17225.936651291056
509.5 17256.757701511167
510.0 17289.08701445878
510.5 17322.858477722944
511.0 17358.00597889272
