Wavelength Extinction
350.0 31884.126384611023
350.5 31754.11783700043
351.0 31624.07414087352
351.5 31494.033396776962
352.0 31364.033705257443
352.5 31234.113166861644
353.0 31104.30988213625
353.5 30974.66195162793
354.0 30845.207475883384
354.5 30715.98455544928
355.0 30587.031290872303
355.5 30458.385782699133
356.0 30330.08613147646
356.5 30202.17043775095
357.0 30074.676802069298
357.5 29947.654860794108
358.0 29821.309219269788
358.5 29695.955354202066
359.0 29571.9111474154
359.5 29449.494480734247
360.0 29329.02323598305
360.5 29210.815294986278
361.0 29095.188539568368
361.5 28982.46085155378
362.0 28872.95011276697
362.5 28766.974205032384
363.0 28664.85101017448
363.5 28566.89841001771
364.0 28473.434286386528
364.5 28384.76810894686
365.0 28300.885890086312
365.5 28221.355510820704
366.0 28145.717113111732
366.5 28073.51083892108
367.0 28004.27683021045
367.5 27937.555228941535
368.0 27872.88617707603
368.5 27809.809816575624
369.0 27747.866289402013
369.5 27686.595737516895
370.0 27625.538302881956
370.5 27564.234127458898
371.0 27502.223353209407
371.5 27439.04612209518
372.0 27374.24257607791
372.5 27307.3528571193
373.0 27237.91710718103
373.5 27165.515597558417
374.0 27090.268014756053
374.5 27012.68012910457
375.0 26933.266094758732
375.5 26852.540065873312
376.0 26771.016196603076
376.5 26689.208641102792
377.0 26607.631553527233
377.5 26526.799088031163
378.0 26447.225398769362
378.5 26369.424639896588
379.0 26293.91096556761
379.5 26221.198529937206
380.0 26151.801487160137
380.5 26086.23399139118
381.0 26025.010196785097
381.5 25968.559792995125
382.0 25916.185542591258
382.5 25866.387787673695
383.0 25817.649662894462
383.5 25768.45430290559
384.0 25717.284842359102
384.5 25662.62441590703
385.0 25602.956158201418
385.5 25536.763203894276
386.0 25462.52868763765
386.5 25378.735744083555
387.0 25283.86750788403
387.5 25176.410357875044
388.0 25055.65653403085
388.5 24922.75803704099
389.0 24779.128367004443
389.5 24626.181024020196
390.0 24465.329508187227
390.5 24297.987319604537
391.0 24125.567958371095
391.5 23949.484924585893
392.0 23771.151718347908
392.5 23591.981839756136
393.0 23413.388788909553
393.5 23236.78606590714
394.0 23063.487661321316
394.5 22893.894314281035
395.0 22727.915772913995
395.5 22565.457065229202
396.0 22406.423219235665
396.5 22250.719262942373
397.0 22098.250224358344
397.5 21948.92113149258
398.0 21802.637012354084
398.5 21659.30289495186
399.0 21518.82380729491
399.5 21381.104777392233
400.0 21246.05083325284
400.5 21113.567002885735
401.0 20983.55831429992
401.5 20855.929795504402
402.0 20730.586474508178
402.5 20607.433379320257
403.0 20486.375537949643
403.5 20367.317978405335
404.0 20250.165728696345
404.5 20134.82381683167
405.0 20021.19727082032
405.5 19909.212824150512
406.0 19799.10822605848
406.5 19691.353797111682
407.0 19586.425457837453
407.5 19484.799128763127
408.0 19386.95073041605
408.5 19293.356183323565
409.0 19204.49140801302
409.5 19120.832325011736
410.0 19042.85485484707
410.5 18971.034918046367
411.0 18905.84843513696
411.5 18847.77132664619
412.0 18797.279513101406
412.5 18754.83620990033
413.0 18720.37761891556
413.5 18693.135542638895
414.0 18672.29266255026
414.5 18657.031660129567
415.0 18646.53521685674
415.5 18639.9860142117
416.0 18636.566733674357
416.5 18635.46005672464
417.0 18635.848664842466
417.5 18636.91523950775
418.0 18637.842462200417
418.5 18637.81301440038
419.0 18636.009577587563
419.5 18631.61483324188
420.0 18623.81146284326
420.5 18611.78214787161
421.0 18594.70956980686
421.5 18571.776410128918
422.0 18542.165350317715
422.5 18505.05907185316
423.0 18459.640256215174
423.5 18405.091584883685
424.0 18340.60423157065
424.5 18266.056968951503
425.0 18182.511729030044
425.5 18091.147295037852
426.0 17993.142450206524
426.5 17889.675977767656
427.0 17781.92666095282
427.5 17671.073282993628
428.0 17558.29462712166
428.5 17444.769476568512
429.0 17331.676614565764
429.5 17220.194824345017
430.0 17111.502889137853
430.5 17006.779592175877
431.0 16907.203716690663
431.5 16813.954045913815
432.0 16728.202433833365
432.5 16650.54973600665
433.0 16580.60863645714
433.5 16517.89350393246
434.0 16461.91870718023
434.5 16412.19861494807
435.0 16368.247595983601
435.5 16329.580019034447
436.0 16295.71025284823
436.5 16266.152666172566
437.0 16240.421627755077
437.5 16218.031506343386
438.0 16198.496670685114
438.5 16181.33148952788
439.0 16166.050331619308
439.5 16152.167565707017
440.0 16139.197560538625
440.5 16126.654684861758
441.0 16114.053307424036
441.5 16100.907796973079
442.0 16086.732522256505
442.5 16071.04185202194
443.0 16053.350155017
443.5 16033.171799989312
444.0 16010.021155686494
444.5 15983.412590856165
445.0 15952.860474245952
445.5 15917.913546093128
446.0 15878.559596317931
446.5 15835.089621776551
447.0 15787.800649659635
447.5 15736.989707157822
448.0 15682.953821461757
448.5 15625.990019762085
449.0 15566.395329249448
449.5 15504.46677711449
450.0 15440.501390547854
450.5 15374.796196740182
451.0 15307.648222882117
451.5 15239.354496164306
452.0 15170.212043777388
452.5 15100.517892912008
453.0 15030.569070758813
453.5 14960.662604508438
454.0 14891.095521351534
454.5 14822.16484847874
455.0 14754.1676130807
455.5 14687.400842348059
456.0 14622.161563471458
456.5 14558.746803641543
457.0 14497.453590048955
457.5 14438.578949884337
458.0 14382.419910338334
458.5 14329.273498601588
459.0 14279.378041783471
459.5 14232.723857740802
460.0 14189.23577611179
460.5 14148.8386261582
461.0 14111.457237141802
461.5 14077.01643832436
462.0 14045.441058967639
462.5 14016.65592833341
463.0 13990.585875683433
463.5 13967.15573027948
464.0 13946.290321383314
464.5 13927.914478256705
465.0 13911.953030161421
465.5 13898.330806359223
466.0 13886.97263611188
466.5 13877.803348681156
467.0 13870.747773328823
467.5 13865.730739316643
468.0 13862.677075906384
468.5 13861.511612359815
469.0 13862.1591779387
469.5 13864.544601904803
470.0 13868.592713519894
470.5 13874.228342045739
471.0 13881.376316744105
471.5 13889.961466876757
472.0 13899.908621705465
472.5 13911.14261049199
473.0 13923.589326243105
473.5 13937.1935312575
474.0 13951.916189115074
474.5 13967.718789648225
475.0 13984.562822689346
475.5 14002.409778070838
476.0 14021.221145625093
476.5 14040.958415184514
477.0 14061.583076581492
477.5 14083.056619648427
478.0 14105.340534217718
478.5 14128.396310121758
479.0 14152.185437192942
479.5 14176.669405263674
480.0 14201.809704166346
480.5 14227.567823733356
481.0 14253.905253797098
481.5 14280.783484189977
482.0 14308.164004744382
482.5 14336.008305292711
483.0 14364.277875667365
483.5 14392.934205700736
484.0 14421.938785225224
484.5 14451.253104073225
