Wavelength Extinction
308.0 30106.273889630764
308.5 30023.666980457925
309.0 29906.35904695241
309.5 29742.692227401043
310.0 29521.00866009065
310.5 29229.650483308047
311.0 28856.959835340065
311.5 28396.338608282134
312.0 27863.786623246793
312.5 27281.610064677574
313.0 26672.115397290036
313.5 26058.49250844536
314.0 25467.956929116655
314.5 24928.87024369999
315.0 24469.59411909004
315.5 24112.26977430296
316.0 23850.1166685836
316.5 23667.955035664698
317.0 23550.60419778563
317.5 23482.88347718576
318.0 23449.61219610445
318.5 23435.609676781063
319.0 23425.695241454974
319.5 23404.688212365538
320.0 23357.407911752125
320.5 23272.015569569212
321.0 23153.013657983465
321.5 23009.891663065147
322.0 22852.1402954488
322.5 22689.250265768955
323.0 22530.712284660156
323.5 22386.017062756928
324.0 22264.65531069382
324.5 22174.38929743283
325.0 22114.1806440234
325.5 22080.19701530881
326.0 22068.6049331552
326.5 22075.570919428716
327.0 22097.26149599549
327.5 22129.84318472168
328.0 22169.482507473418
328.5 22212.34598611685
329.0 22254.60014251812
329.5 22293.058830042086
330.0 22328.00337837803
330.5 22360.871264956262
331.0 22393.10076464894
331.5 22426.130152328235
332.0 22461.397702866325
332.5 22500.341691135367
333.0 22544.40039200755
333.5 22595.012080355038
334.0 22653.61503104999
334.5 22721.647518964593
335.0 22800.547818971012
335.5 22891.233025256744
336.0 22991.65197601777
336.5 23098.70420547796
337.0 23209.288040332933
337.5 23320.30180727833
338.0 23428.643833009777
338.5 23531.212444222903
339.0 23624.905967613344
339.5 23707.220405072778
340.0 23779.19862454702
340.5 23843.186843224998
341.0 23901.533284014473
341.5 23956.586169823222
342.0 24010.693723559
342.5 24066.204168129592
343.0 24125.465726442755
343.5 24190.826621406253
344.0 24264.63507592787
344.5 24349.23931291536
345.0 24446.987555276493
345.5 24559.685220185198
346.0 24685.709846721726
346.5 24822.104578772716
347.0 24965.909558876552
347.5 25114.16492957161
348.0 25263.910833396258
348.5 25412.187412888874
349.0 25556.03481058784
349.5 25692.49316903152
350.0 25818.602630758298
350.5 25932.05465239949
351.0 26034.874350871007
351.5 26130.85610102127
352.0 26223.799519044995
352.5 26317.504221136915
353.0 26415.76982349176
353.5 26522.395942304258
354.0 26641.182193769146
354.5 26775.078141027432
355.0 26921.13360947341
355.5 27073.89680332205
356.0 27227.906880542057
356.5 27377.702999102123
357.0 27517.824316970953
357.5 27642.809992117243
358.0 27747.1991825097
358.5 27826.263758539073
359.0 27880.581899713587
359.5 27913.068136959755
360.0 27926.647151967954
360.5 27924.243626428564
361.0 27908.782242031946
361.5 27883.187680468476
362.0 27850.384623428516
362.5 27813.297752602448
363.0 27774.85174968064
363.5 27737.690048064975
364.0 27702.30691729344
364.5 27668.20504375382
365.0 27634.881796524183
365.5 27601.834544682602
366.0 27568.560657307156
366.5 27534.55750347593
367.0 27499.32245226699
367.5 27462.35287275842
368.0 27423.146134028295
368.5 27381.199605154685
369.0 27336.01065521568
369.5 27287.076653289347
370.0 27233.894968453766
370.5 27176.018446501163
371.0 27113.457428510297
371.5 27046.44748420474
372.0 26975.22575742099
372.5 26900.029391995555
373.0 26821.095531764946
373.5 26738.661320565665
374.0 26652.963902234223
374.5 26564.240420607122
375.0 26472.728019520877
375.5 26378.663842811984
376.0 26282.285034316963
376.5 26183.828737872307
377.0 26083.532097314528
377.5 25981.632256480138
378.0 25878.366359205644
378.5 25773.992366372036
379.0 25668.955875711596
379.5 25563.80190259118
380.0 25459.076371499094
380.5 25355.325206923615
381.0 25253.094333353045
381.5 25152.929675275667
382.0 25055.377157179788
382.5 24960.935935072397
383.0 24869.664126895288
383.5 24781.377507330984
384.0 24695.889345219253
384.5 24613.012909399884
385.0 24532.56146871266
385.5 24454.348291997372
386.0 24378.18664809379
386.5 24303.889805841703
387.0 24231.2710340809
387.5 24160.143601651158
388.0 24090.320777392266
388.5 24021.615830143997
389.0 23953.842028746145
389.5 23886.854936361415
390.0 23820.942436873007
390.5 23756.645512576688
391.0 23694.508342334513
391.5 23635.07510500854
392.0 23578.88997946081
392.5 23526.497144553396
393.0 23478.440779148343
393.5 23435.2650621077
394.0 23397.514172293537
394.5 23365.686787499813
395.0 23339.788340294275
395.5 23319.522212952572
396.0 23304.58743271897
396.5 23294.683026837756
397.0 23289.508022553193
397.5 23288.761447109566
398.0 23292.142327751142
398.5 23299.3496917222
399.0 23310.082566267018
399.5 23324.039978629866
400.0 23340.92095605502
400.5 23360.424525786748
401.0 23382.249715069334
401.5 23406.113695368545
402.0 23431.94756779841
402.5 23459.821892089363
403.0 23489.80961781902
403.5 23521.983694564984
404.0 23556.41707190486
404.5 23593.18269941626
405.0 23632.353526676776
405.5 23674.002503264022
406.0 23718.2025787556
406.5 23765.02670272913
407.0 23814.547824762194
407.5 23866.838894432418
408.0 23921.9728613174
408.5 23980.007656026868
409.0 24040.80813559406
409.5 24104.105218081608
410.0 24169.627127541185
410.5 24237.102088024465
411.0 24306.258323583123
411.5 24376.824058268823
412.0 24448.527516133243
412.5 24521.096921228054
413.0 24594.260497604926
413.5 24667.746469315534
414.0 24741.283060411548
414.5 24814.63469240606
415.0 24888.067959118223
415.5 24962.216795456778
416.0 25037.723538509377
416.5 25115.230525363684
417.0 25195.380093107367
417.5 25278.81457882808
418.0 25366.176319613496
418.5 25458.107652551273
419.0 25555.250914729077
419.5 25658.143967077216
420.0 25765.77787036496
420.5 25875.961324634143
421.0 25986.473095004476
421.5 26095.091946595683
422.0 26199.596644527483
422.5 26297.765953919603
423.0 26387.378639891755
423.5 26466.30815507129
424.0 26533.906464128966
424.5 26590.696102168946
425.0 26637.231648522746
425.5 26674.067682521883
426.0 26701.758783497884
426.5 26720.85953078226
427.0 26731.924503706545
427.5 26735.508281602255
428.0 26732.165443800906
428.5 26722.450569634024
429.0 26706.91823843312
429.5 26686.112614610985
430.0 26660.40136009452
430.5 26630.004854071503
431.0 26595.138964829468
431.5 26556.019560655954
432.0 26512.86250983849
432.5 26465.883680664625
433.0 26415.298941421894
433.5 26361.324160397824
434.0 26304.175205879965
434.5 26244.067946155843
435.0 26181.218249513
435.5 26115.85326643442
436.0 26048.408218357054
436.5 25979.501299432934
437.0 25909.756940347525
437.5 25839.799571786294
438.0 25770.2536244347
438.5 25701.743528978204
439.0 25634.893716102262
439.5 25570.308277917975
440.0 25508.193856516325
440.5 25448.395188838975
441.0 25390.743801793367
441.5 25335.071222286948
442.0 25281.20897722716
442.5 25228.98859352147
443.0 25178.241598077308
443.5 25128.799517802134
444.0 25080.493879603386
444.5 25033.16351671336
445.0 24986.80107444101
445.5 24941.5454951661
446.0 24897.541523409753
446.5 24854.933903693072
447.0 24813.86738053716
447.5 24774.486698463134
448.0 24736.936601992104
448.5 24701.36183564517
449.0 24667.907143943445
449.5 24636.717271408037
450.0 24607.936962560063
450.5 24581.710961920617
451.0 24558.18401401082
451.5 24537.500863351775
452.0 24519.806254464595
452.5 24505.238329777454
453.0 24493.77788414531
453.5 24485.245247573577
454.0 24479.453524444296
454.5 24476.215819139492
455.0 24475.34523604119
455.5 24476.654879531434
456.0 24479.957853992244
456.5 24485.067263805657
457.0 24491.796213353697
457.5 24499.957807018403
458.0 24509.365149181802
458.5 24519.836012681644
459.0 24531.31081815858
459.5 24543.861771815467
460.0 24557.567578821538
460.5 24572.506944346067
461.0 24588.75857355829
461.5 24606.40117162748
462.0 24625.51344372288
462.5 24646.17409501375
463.0 24668.461830669337
463.5 24692.455355858907
464.0 24718.233375751708
464.5 24745.874595516994
465.0 24775.45772032402
465.5 24807.05542141341
466.0 24840.561781297834
466.5 24875.666902931716
467.0 24912.049749026988
467.5 24949.389282295586
468.0 24987.364465449453
468.5 25025.65426120052
469.0 25063.937632260728
469.5 25101.893541342004
470.0 25139.200951156297
470.5 25175.538824415537
471.0 25210.58612383166
471.5 25244.021812116604
472.0 25275.524851982304
472.5 25304.774206140704
473.0 25331.44883730373
473.5 25355.2411495711
474.0 25376.303092979255
474.5 25395.349504025868
475.0 25413.129595635903
475.5 25430.392580734322
476.0 25447.887672246095
476.5 25466.36408309619
477.0 25486.571026209578
477.5 25509.25771451122
478.0 25535.173360926085
478.5 25565.06717837915
479.0 25599.68837979537
479.5 25639.77467659253
480.0 25685.622779348905
480.5 25736.960038680874
481.0 25793.476105522408
481.5 25854.860630807463
482.0 25920.803265470004
482.5 25990.993660443997
483.0 26065.121466663404
483.5 26142.876335062196
484.0 26223.94791657432
484.5 26308.02586213375
485.0 26394.79982267445
485.5 26483.96044530036
486.0 26575.24148230429
486.5 26668.43535506272
487.0 26763.338686926138
487.5 26859.748101245004
488.0 26957.460221369816
488.5 27056.27167065103
489.0 27155.979072439135
489.5 27256.379050084597
490.0 27357.26822693791
490.5 27458.443226349536
491.0 27559.700671669958
491.5 27660.83718624965
492.0 27761.649393439093
492.5 27861.936945615536
493.0 27961.65175503997
493.5 28060.966185918463
494.0 28160.069858196533
494.5 28259.15239181972
495.0 28358.40340673354
495.5 28458.012522883528
496.0 28558.169360215208
496.5 28659.063538674105
497.0 28760.88467820575
497.5 28863.822398755674
498.0 28968.06632026939
498.5 29073.806062692438
499.0 29181.231245970343
499.5 29290.531490048623
500.0 29401.89641487282
500.5 29515.514689898664
501.0 29631.517495361153
501.5 29749.94663778842
502.0 29870.836204543
502.5 29994.220282987433
503.0 30120.132960484247
503.5 30248.60832439598
504.0 30379.680462085165
504.5 30513.38346091434
505.0 30649.75140824604
505.5 30788.818391442805
506.0 30930.618497867163
506.5 31075.185814881654
507.0 31222.55442984881
507.5 31372.758430131165
508.0 31525.831903091264
508.5 31681.80893609163
509.0 31840.723616494808
509.5 32002.610618974817
510.0 32167.549267504306
510.5 32335.69412604835
511.0 32507.206991290877
511.5 32682.249659915833
512.0 32860.98392860714
512.5 33043.57159404873
513.0 33230.17445292454
513.5 33420.95430191851
514.0 33616.07293771456
514.5 33815.69215699665
515.0 34019.973756448686
515.5 34229.079532754615
516.0 34443.17128259836
516.5 34662.41080266387
517.0 34886.95988963507
517.5 35116.98034019589
518.0 35352.63395103027
518.5 35594.07824333112
