Wavelength Extinction
256.0 52308.209141699976
256.5 52272.25648972819
257.0 52236.33040679862
257.5 52200.37572881741
258.0 52164.33729169074
258.5 52128.159931324764
259.0 52091.788483625634
259.5 52055.16778449952
260.0 52018.24266985257
260.5 51980.95797559095
261.0 51943.25853762082
261.5 51905.08919184833
262.0 51866.39477417966
262.5 51827.12012052095
263.0 51787.21006677837
263.5 51746.60944884709
264.0 51705.11310534401
264.5 51661.92339839237
265.0 51616.09642568911
265.5 51566.68828493116
266.0 51512.75507381543
266.5 51453.35289003888
267.0 51387.537831298425
267.5 51314.36599529098
268.0 51232.89347971349
268.5 51142.17638226288
269.0 51041.270800636084
269.5 50929.232832530026
270.0 50805.11857564163
270.5 50668.028486869385
271.0 50518.16220219401
271.5 50356.864253930566
272.0 50185.53268180614
272.5 50005.565525547805
273.0 49818.36082488266
273.5 49625.316619537785
274.0 49427.83094924026
274.5 49227.30185371718
275.0 49025.127372695606
275.5 48822.70554590265
276.0 48621.43441306538
276.5 48422.712013910874
277.0 48227.93638816623
277.5 48037.94785240061
278.0 47850.975331971415
278.5 47664.48409423389
279.0 47475.93931217779
279.5 47282.80615879286
280.0 47082.54980706885
280.5 46872.63542999549
281.0 46650.52820056256
281.5 46413.693291759795
282.0 46159.59587657693
282.5 45885.70112800373
283.0 45589.474219029944
283.5 45268.3803226453
284.0 44919.884611839574
284.5 44541.45225960249
285.0 44130.55567819857
285.5 43688.37541939023
286.0 43225.83474712707
286.5 42755.43783013563
287.0 42289.68883714246
287.5 41841.091936874094
288.0 41422.1512980571
288.5 41045.204764225484
289.0 40713.96119249256
289.5 40419.47815689374
290.0 40151.80534238007
290.5 39900.99243390257
291.0 39657.08911641227
291.5 39410.145074860215
292.0 39150.209994197416
292.5 38867.33355937492
293.0 38551.66504193337
293.5 38199.93233958619
294.0 37819.42321473655
294.5 37418.377596930965
295.0 37005.03541571593
295.5 36587.63660063794
296.0 36174.421081243505
296.5 35773.62878707913
297.0 35393.4996476913
297.5 35042.237446325766
298.0 34724.58788610232
298.5 34439.02407976802
299.0 34183.35672788137
299.5 33955.396531000915
300.0 33752.95418968521
300.5 33573.84040449276
301.0 33415.865875982134
301.5 33276.84130471186
302.0 33154.57739124047
302.5 33046.884836126505
303.0 32951.5743399285
303.5 32866.456603205006
304.0 32789.34232651454
304.5 32718.04221041566
305.0 32650.36695546689
305.5 32584.169137431847
306.0 32518.326970898153
306.5 32452.78028755249
307.0 32387.517992623143
307.5 32322.52899133839
308.0 32257.802188926504
308.5 32193.32649061577
309.0 32129.090801634462
309.5 32065.08402721086
310.0 32001.295072573244
310.5 31937.712842949888
311.0 31874.326243569078
311.5 31811.124179659084
312.0 31748.095556448192
312.5 31685.229279164672
313.0 31622.51425303681
313.5 31559.983146757502
314.0 31498.09669792719
314.5 31437.557782503456
315.0 31379.072025810987
315.5 31323.34505317446
316.0 31271.082489918568
316.5 31222.989961367985
317.0 31179.773092847394
317.5 31142.137509681488
318.0 31110.788837194945
318.5 31086.432700712452
319.0 31069.774725558687
319.5 31061.52053705833
320.0 31062.375760536077
320.5 31073.0460213166
321.0 31094.236944724587
321.5 31126.415897810697
322.0 31168.942625287906
322.5 31220.85524850401
323.0 31281.191853994133
323.5 31348.990528293412
324.0 31423.289357936967
324.5 31503.12642945994
325.0 31587.539829397447
325.5 31675.567644284623
326.0 31766.2479606566
326.5 31858.618865048506
327.0 31951.71844399547
327.5 32044.584784032624
328.0 32136.30886960233
328.5 32227.51748853455
329.0 32320.574733565034
329.5 32417.938087742292
330.0 32522.06503411483
330.5 32635.413055731155
331.0 32760.439635639774
331.5 32899.602256889186
332.0 33055.358402527905
332.5 33230.165555604435
333.0 33426.48119916729
333.5 33646.750888836556
334.0 33891.25614411741
334.5 34155.618061835
335.0 34434.852369373075
335.5 34723.974794115355
336.0 35018.0010634456
336.5 35311.94690474752
337.0 35600.828045404895
337.5 35879.66021280143
338.0 36143.45913432087
338.5 36387.24053734695
339.0 36606.02014926341
339.5 36796.24196532454
340.0 36960.2457738697
340.5 37101.89244347373
341.0 37225.04284441483
341.5 37333.557846971176
342.0 37431.29832142098
342.5 37522.125138042415
343.0 37609.899167113676
343.5 37698.48127891296
344.0 37791.732343718446
344.5 37893.51323180834
345.0 38007.68481346083
345.5 38138.1079589541
346.0 38288.643538566335
346.5 38463.15242257574
347.0 38665.47065829067
347.5 38896.49550228499
348.0 39151.45116135081
348.5 39424.914836926386
349.0 39711.46373044998
349.5 40005.67504335987
350.0 40302.12597709431
350.5 40595.39373309158
351.0 40880.055512789935
351.5 41150.68851762764
352.0 41401.86994904298
352.5 41628.1770371614
353.0 41825.46051248217
353.5 41994.24018297454
354.0 42136.105621133924
354.5 42252.646399455734
355.0 42345.4520904354
355.5 42416.112266568336
356.0 42466.21650034996
356.5 42497.354364275685
357.0 42511.11543084094
357.5 42509.08927254114
358.0 42492.865461871705
358.5 42464.033571328044
359.0 42424.18317340559
359.5 42374.90384059975
360.0 42317.78514540595
360.5 42254.416660319606
361.0 42186.38795783615
361.5 42115.288606692804
362.0 42042.39288884585
362.5 41967.79930177158
363.0 41891.33231127235
363.5 41812.81638315054
364.0 41732.0759832085
364.5 41648.93557724863
365.0 41563.21963107328
365.5 41474.75261048481
366.0 41383.3589812856
366.5 41288.86320927802
367.0 41191.08976026443
367.5 41089.8631000472
368.0 40985.00769442871
368.5 40876.348009211324
369.0 40763.7085101974
369.5 40646.91366318932
370.0 40525.78793398944
370.5 40400.155788400145
371.0 40269.84169222378
371.5 40134.670111262734
372.0 39994.44948313539
372.5 39848.84300728049
373.0 39697.43659889354
373.5 39539.81545589194
374.0 39375.56477619317
