Wavelength Extinction
252.0 120128.22612567816
252.5 119852.63990157121
253.0 119577.39792311181
253.5 119302.10058143488
254.0 119026.34826767528
254.5 118749.74137296795
255.0 118471.88028844776
255.5 118192.3654052496
256.0 117910.7971145084
256.5 117626.77580735904
257.0 117339.90187493639
257.5 117049.7757083754
258.0 116755.99769881093
258.5 116458.16823737789
259.0 116155.88771521118
259.5 115848.75652344567
260.0 115536.37505321631
260.5 115218.34369565795
261.0 114894.26284190551
261.5 114563.73288309388
262.0 114226.35421035797
262.5 113881.72721483264
263.0 113529.68960870878
263.5 113171.16382207656
264.0 112807.38201831725
264.5 112439.57638462473
265.0 112068.97910819305
265.5 111696.82237621605
266.0 111324.33837588776
266.5 110952.75929440213
267.0 110583.31731895308
267.5 110217.24463673457
268.0 109855.77343494055
268.5 109500.135900765
269.0 109151.56422140182
269.5 108811.29058404503
270.0 108480.54717588851
270.5 108160.56618412626
271.0 107852.5797959522
271.5 107557.82019856032
272.0 107277.51957914454
272.5 107012.91012489883
273.0 106765.22402301713
273.5 106535.11369051422
274.0 106315.82874679609
274.5 106095.50791467556
275.0 105862.18834160404
275.5 105603.90717503299
276.0 105308.70156241384
276.5 104964.60865119801
277.0 104559.66558883697
277.5 104081.90952278212
278.0 103519.3776004849
278.5 102860.10696939679
279.0 102097.83731570117
279.5 101250.23922115212
280.0 100341.25980704339
280.5 99394.84621911797
281.0 98434.94560311893
281.5 97485.50510478928
282.0 96569.59141212504
282.5 95696.54406588618
283.0 94864.84531019125
283.5 94072.68081711665
284.0 93318.23625873885
284.5 92599.69730713425
285.0 91915.2496343793
285.5 91263.07891255044
286.0 90641.37081372406
286.5 90048.31100997663
287.0 89482.08517338458
287.5 88939.1729329295
288.0 88407.69365020534
288.5 87873.20989025022
289.0 87321.28357116392
289.5 86737.47661104621
290.0 86107.3509279969
290.5 85416.4684401157
291.0 84650.39106550248
291.5 83794.68072225693
292.0 82834.8993284789
292.5 81756.60880226815
293.0 80545.37106172444
293.5 79186.7851342986
294.0 77684.95191360508
294.5 76092.3800918279
295.0 74469.39768891281
295.5 72876.33272480562
296.0 71366.19201756416
296.5 69950.01057020764
297.0 68623.89322662733
297.5 67383.92678551197
298.0 66226.19804555022
298.5 65146.793805430774
299.0 64141.800863842356
299.5 63207.306019473646
300.0 62339.3920726938
300.5 61533.93581298306
301.0 60786.51280932792
301.5 60092.674724688906
302.0 59447.973222026536
302.5 58847.959964301335
303.0 58288.1866144738
303.5 57764.20483550446
304.0 57271.566290353825
304.5 56805.82264198243
305.0 56362.52555335077
305.5 55937.22668741937
306.0 55525.47770714875
306.5 55122.830275499415
307.0 54724.8360554319
307.5 54327.10670634259
308.0 53927.16599610342
308.5 53524.802606565696
309.0 53119.93641194497
309.5 52712.487286456766
310.0 52302.375104316605
310.5 51889.519739740026
311.0 51473.84106694254
311.5 51055.25896013971
312.0 50633.69329354703
312.5 50209.06394138006
313.0 49781.2907778543
313.5 49350.2936771853
314.0 48915.99251358859
314.5 48478.30716127968
315.0 48037.15749447413
315.5 47592.46338738743
316.0 47144.16039945271
316.5 46692.85711853885
317.0 46240.07488984277
317.5 45787.400089154864
318.0 45336.419092265576
318.5 44888.718274965344
319.0 44445.884013044575
319.5 44009.5026822937
320.0 43581.16065850317
320.5 43162.44431746338
321.0 42754.94003496478
321.5 42360.234186797796
322.0 41979.91314875284
322.5 41615.563296620356
323.0 41268.77100619077
323.5 40941.08062671974
324.0 40632.88215009864
324.5 40343.29613794708
325.0 40071.37804560356
325.5 39816.18332840656
326.0 39576.767441694545
326.5 39352.185840806
327.0 39141.4939810794
327.5 38943.747317853245
328.0 38758.001306465994
328.5 38583.31140225614
329.0 38418.73306056216
329.5 38263.32173672253
330.0 38116.13741336254
330.5 37976.29115060916
331.0 37842.92623943484
331.5 37715.186476450916
332.0 37592.21565826874
332.5 37473.15758149965
333.0 37357.156042755
333.5 37243.35483864613
334.0 37130.8977657844
334.5 37018.92862078115
335.0 36906.59120024771
335.5 36793.02930079545
336.0 36677.38671903571
336.5 36558.80725157982
337.0 36436.43469503915
337.5 36309.412846025036
338.0 36176.88550114881
338.5 36037.99645702184
339.0 35891.88951025547
339.5 35737.75592189787
340.0 35575.920726107994
340.5 35407.86661912382
341.0 35235.12854006508
341.5 35059.24142805151
342.0 34881.74022220282
342.5 34704.15986163875
343.0 34528.035285479
343.5 34354.901432843326
344.0 34186.293242851425
344.5 34023.745654623046
345.0 33868.793607277905
345.5 33722.97203993571
346.0 33587.81589171621
346.5 33464.86010173912
347.0 33355.56942131286
347.5 33260.23213710605
348.0 33178.16164097346
348.5 33108.64189782249
349.0 33050.95687256052
349.5 33004.39053009495
350.0 32968.22683533319
350.5 32941.74975318262
351.0 32924.24324855067
351.5 32914.99128634471
352.0 32913.27783147214
352.5 32918.38684884037
353.0 32929.60230335678
353.5 32946.258748072825
354.0 32968.08532818559
354.5 32994.99648997942
355.0 33026.90775079542
355.5 33063.73462797465
356.0 33105.39263885822
356.5 33151.79730078718
357.0 33202.86413110263
357.5 33258.50864714566
358.0 33318.64636625734
358.5 33383.19280577875
359.0 33452.06348305098
359.5 33525.17391541512
360.0 33602.43962021224
360.5 33683.77611478343
361.0 33769.09891646977
361.5 33858.32354261234
362.0 33951.36002900156
362.5 34048.0676893012
363.0 34148.27838631991
363.5 34251.82371300377
364.0 34358.535262298865
364.5 34468.24462715131
365.0 34580.78340050718
365.5 34695.98317531258
366.0 34813.6755445136
366.5 34933.692101056324
367.0 35055.86443788684
367.5 35180.024147951255
368.0 35306.00282419566
368.5 35433.500031516836
369.0 35561.588838883414
369.5 35689.15667882866
370.0 35815.09095499018
370.5 35938.27907100556
371.0 36057.6084305124
371.5 36171.966437148316
372.0 36280.24049455089
372.5 36381.31800635773
373.0 36474.08637620644
373.5 36557.4330077346
374.0 36630.245304579825
374.5 36691.410670379715
375.0 36739.81650877185
375.5 36774.35022339385
376.0 36793.89921788331
376.5 36797.350895877826
377.0 36783.592661015
377.5 36751.511916932424
378.0 36700.188718055135
378.5 36630.32396092136
379.0 36543.42997367284
379.5 36441.025130070506
380.0 36324.62780387526
380.5 36195.75636884803
381.0 36055.929198749734
381.5 35906.6646673413
382.0 35749.481148383646
382.5 35585.89701563769
383.0 35417.43064286435
383.5 35245.60040382454
384.0 35071.92467227919
384.5 34897.921821989214
385.0 34725.110226715544
385.5 34555.00826021908
386.0 34389.13429626076
386.5 34228.89532144901
387.0 34074.58273179555
387.5 33925.845080055275
388.0 33782.323184203175
388.5 33643.657862214284
389.0 33509.48993206359
389.5 33379.46021172612
390.0 33253.20951917687
390.5 33130.37867239086
391.0 33010.6084893431
391.5 32893.539788008595
392.0 32778.813386362344
392.5 32666.07010237938
393.0 32554.950754034693
393.5 32445.0961593033
394.0 32336.18743003048
394.5 32228.21458984452
395.0 32121.31058968215
395.5 32015.609156246494
396.0 31911.24401624067
396.5 31808.348896367803
397.0 31707.057523331005
397.5 31607.503623833407
398.0 31509.820924578118
398.5 31414.143152268265
399.0 31320.604033606967
399.5 31229.337295297344
400.0 31140.47666404252
400.5 31054.15586654561
401.0 30970.50862950973
401.5 30889.668679638013
402.0 30811.769743633566
402.5 30736.94554819952
403.0 30665.329820038984
403.5 30597.05628585509
404.0 30532.258672350952
404.5 30471.065401226908
405.0 30413.466751703723
405.5 30359.30525839728
406.0 30308.41622777668
406.5 30260.63496631102
407.0 30215.79678046939
407.5 30173.736976720884
408.0 30134.2908615346
408.5 30097.29374137962
409.0 30062.580922725043
409.5 30029.987712039965
410.0 29999.34941579348
410.5 29970.501340454677
411.0 29943.27879249265
411.5 29917.51707837649
412.0 29893.051504575298
412.5 29869.717377558158
413.0 29847.35000379417
413.5 29825.78468975243
414.0 29804.85674190202
414.5 29784.40146671204
415.0 29764.254170651584
415.5 29744.25016018974
416.0 29724.224741795606
416.5 29704.01322193828
417.0 29683.450907086844
417.5 29662.3731037104
418.0 29640.615118278038
418.5 29618.012257258848
419.0 29594.399827121928
419.5 29569.61313433637
420.0 29543.48748537127
420.5 29515.859998683725
421.0 29486.60895165995
421.5 29455.653495537794
422.0 29422.91453652679
422.5 29388.31298083646
423.0 29351.76973467633
423.5 29313.205704255917
424.0 29272.541795784735
424.5 29229.698915472316
425.0 29184.597969528182
425.5 29137.159864161848
426.0 29087.30550558284
426.5 29034.95580000068
427.0 28980.03165362489
427.5 28922.45397266499
428.0 28862.143663330502
428.5 28799.021631830947
429.0 28733.008784375852
429.5 28664.026027174732
430.0 28591.994266437112
430.5 28516.83440837252
431.0 28438.467359190465
431.5 28356.814025100477
432.0 28271.795312312075
432.5 28183.332127034784
433.0 28091.345375478122
433.5 27995.967290794968
434.0 27898.38819609959
434.5 27800.128880089203
435.0 27702.710242171725
435.5 27607.653181755064
436.0 27516.478598247126
436.5 27430.70739105583
437.0 27351.860459589083
437.5 27281.458703254793
438.0 27221.023021460882
438.5 27172.074313615245
439.0 27136.13347912581
439.5 27114.721417400473
440.0 27109.359027847157
440.5 27121.567209789235
441.0 27152.29913937878
441.5 27200.27311223303
442.0 27263.657564553585
442.5 27340.620932542024
443.0 27429.33165239995
443.5 27527.958160328944
444.0 27634.668892530608
444.5 27747.632285206528
445.0 27865.01677455829
445.5 27984.9907967875
446.0 28105.722788095733
446.5 28225.381184684586
447.0 28342.13442275566
447.5 28454.150938510527
448.0 28559.59940160695
448.5 28657.129057806425
449.0 28746.88026255196
449.5 28829.28171023003
450.0 28904.762095227095
450.5 28973.750111929647
451.0 29036.674454724147
451.5 29093.96381799706
452.0 29146.046896134878
452.5 29193.35238352406
453.0 29236.308974551073
453.5 29275.345363602406
454.0 29310.89024506452
454.5 29343.37231332389
455.0 29373.220262766987
455.5 29400.862787780283
456.0 29426.728582750256
456.5 29451.24634206337
457.0 29474.8447601061
457.5 29497.95253126493
458.0 29520.940879630638
458.5 29543.872367077613
459.0 29566.706376443897
459.5 29589.402217631785
460.0 29611.91920054359
460.5 29634.21663508162
461.0 29656.25383114817
461.5 29677.99009864555
462.0 29699.384747476077
462.5 29720.397087542045
463.0 29740.986428745764
463.5 29761.11208098954
464.0 29780.733354175674
464.5 29799.809558206474
465.0 29818.300002984248
465.5 29836.1639984113
466.0 29853.360854389935
466.5 29869.84988082246
467.0 29885.590387611188
467.5 29900.54168465841
468.0 29914.66308186644
468.5 29927.91388913758
469.0 29940.253416374144
469.5 29951.64097347843
470.0 29962.03587035275
470.5 29971.397586871866
471.0 29979.696437433497
471.5 29986.9199063344
472.0 29993.056999736255
472.5 29998.096723800747
473.0 30002.028084689548
473.5 30004.840088564335
474.0 30006.521741586792
474.5 30007.062049918586
475.0 30006.450019721407
475.5 30004.674657156924
476.0 30001.72496838682
476.5 29997.589959572775
477.0 29992.258636876457
477.5 29985.720006459553
478.0 29977.963074483734
478.5 29968.976847110684
479.0 29958.750291355973
479.5 29947.26858003041
480.0 29934.50997629577
480.5 29920.45200998912
481.0 29905.07221094753
481.5 29888.34810900807
482.0 29870.25723400782
482.5 29850.777115783836
483.0 29829.8852841732
483.5 29807.559269012974
484.0 29783.776600140238
484.5 29758.514807392057
485.0 29731.751420605502
485.5 29703.46396961765
486.0 29673.62998426556
486.5 29642.22699438631
487.0 29609.23252981697
487.5 29574.624120394612
488.0 29538.379295956303
488.5 29500.47558633912
489.0 29460.89052138012
489.5 29419.60163091639
490.0 29376.586444784993
490.5 29331.822492823005
491.0 29285.28730486749
491.5 29236.958410755517
492.0 29186.81334032416
492.5 29134.829623410493
493.0 29080.98478985158
493.5 29025.2563694845
494.0 28967.623077250188
494.5 28908.101763010603
495.0 28846.754658445894
495.5 28783.646643486252
496.0 28718.84259806186
496.5 28652.407402102905
497.0 28584.405935539573
497.5 28514.903078302057
498.0 28443.96371032054
498.5 28371.652711525196
499.0 28298.034961846228
499.5 28223.175341213817
500.0 28147.13872955815
500.5 28069.99000680941
501.0 27991.794052897792
501.5 27912.615747753473
502.0 27832.519971306647
502.5 27751.57160348749
503.0 27669.8355242262
503.5 27587.37661345296
504.0 27504.259751097954
504.5 27420.549817091367
505.0 27336.311691363393
505.5 27251.610253844214
506.0 27166.510384464014
506.5 27081.076963152984
507.0 26995.375094810894
507.5 26909.471277076475
508.0 26823.43253990495
508.5 26737.325914319215
509.0 26651.21843134218
509.5 26565.17712199673
510.0 26479.269017305767
510.5 26393.561148292192
511.0 26308.120545978898
511.5 26223.014241388788
512.0 26138.30926554476
512.5 26054.072649469712
513.0 25970.37142418654
513.5 25887.272620718137
514.0 25804.84327008741
514.5 25723.15040331725
515.0 25642.261051430563
515.5 25562.231602207674
516.0 25483.04093921972
516.5 25404.633655669884
517.0 25326.954192371028
517.5 25249.946990136003
518.0 25173.556489777657
518.5 25097.72713210884
519.0 25022.403357942418
519.5 24947.52960809124
520.0 24873.050323368156
520.5 24798.909944586016
521.0 24725.052912557683
521.5 24651.423668096006
522.0 24577.966652013838
522.5 24504.62630512403
523.0 24431.34706823944
523.5 24358.073382172926
524.0 24284.74968773733
524.5 24211.32042574551
525.0 24137.73543131572
525.5 24064.018713435307
526.0 23990.248209574736
526.5 23916.503073027052
527.0 23842.86245708529
527.5 23769.40551504251
528.0 23696.211400191733
528.5 23623.359265826024
529.0 23550.92826523842
529.5 23478.997551721965
530.0 23407.6462785697
530.5 23336.953599074666
531.0 23266.998666529922
531.5 23197.8606342285
532.0 23129.618655463448
532.5 23062.3518835278
533.0 22996.139471714618
533.5 22931.060573316936
534.0 22867.194341627797
534.5 22804.61992994025
535.0 22743.41649154733
535.5 22683.663179742092
536.0 22625.439147817575
536.5 22568.823549066823
537.0 22513.89553678288
537.5 22460.73426425879
538.0 22409.418884787596
538.5 22360.028551662348
539.0 22312.642418176085
539.5 22267.339637621844
540.0 22224.17308778748
540.5 22182.98950816768
541.0 22143.538355781508
541.5 22105.568513652663
542.0 22068.82886480485
542.5 22033.068292261774
543.0 21998.035679047127
543.5 21963.47990818461
544.0 21929.149862697934
544.5 21894.794425610788
545.0 21860.162479946877
545.5 21825.002908729908
546.0 21789.06459498357
546.5 21752.096421731574
547.0 21713.84727199762
547.5 21674.066028805406
548.0 21632.501575178634
548.5 21588.902794141002
549.0 21543.018568716216
549.5 21494.59778192797
550.0 21443.389316799974
550.5 21389.142056355922
551.0 21331.604883619515
551.5 21270.530614444393
552.0 21205.90406032622
552.5 21138.06735929377
553.0 21067.393123733567
553.5 20994.253966032116
554.0 20919.022498575927
554.5 20842.0713337515
555.0 20763.773083945358
555.5 20684.500361543996
556.0 20604.62577893394
556.5 20524.521948501682
557.0 20444.561482633744
557.5 20365.116993716623
558.0 20286.547924689814
558.5 20208.96856531141
559.0 20132.276396663638
559.5 20056.361426124087
560.0 19981.113661070336
560.5 19906.423108879957
561.0 19832.17977693053
561.5 19758.273672599644
562.0 19684.594803264867
562.5 19611.033176303783
563.0 19537.47879909397
563.5 19463.821679013003
564.0 19389.95182343847
564.5 19315.759239747946
565.0 19241.133935319
565.5 19165.965917529233
566.0 19090.145193756205
566.5 19013.5617713775
567.0 18936.105657770706
567.5 18857.667703124374
568.0 18778.179701537298
568.5 18697.631919548105
569.0 18616.019112365473
569.5 18533.336035198106
570.0 18449.57744325468
570.5 18364.738091743897
571.0 18278.812735874435
571.5 18191.796130854997
572.0 18103.68303189426
572.5 18014.46819420092
573.0 17924.146372983665
573.5 17832.712323451186
574.0 17740.160800812173
574.5 17646.48656027531
575.0 17551.684357049293
575.5 17455.74894634281
576.0 17358.67508336455
576.5 17260.457523323203
577.0 17161.091021427455
577.5 17060.570332886007
578.0 16958.890213973435
578.5 16856.055439912645
579.0 16752.105320617164
579.5 16647.086601425835
580.0 16541.046027677534
580.5 16434.030344711093
581.0 16326.086297865364
581.5 16217.260632479209
582.0 16107.600093891477
582.5 15997.151427441015
583.0 15885.961378466684
583.5 15774.076692307324
584.0 15661.5441143018
584.5 15548.410389788954
585.0 15434.722264107646
585.5 15320.526482596722
586.0 15205.869790595036
586.5 15090.798933441441
587.0 14975.360656474788
587.5 14859.60170503393
588.0 14743.568824457718
588.5 14627.308760085003
589.0 14510.868257254642
589.5 14394.29406130548
590.0 14277.632917576377
590.5 14160.931571406178
591.0 14044.236768133736
591.5 13927.59525309791
592.0 13811.053771637544
592.5 13694.659069091495
593.0 13578.458003315516
593.5 13462.518609934781
594.0 13346.954923986576
594.5 13231.887015153998
595.0 13117.434953120146
595.5 13003.718807568124
596.0 12890.85864818103
596.5 12778.974544641966
597.0 12668.186566634027
597.5 12558.614783840314
598.0 12450.37926594393
