Wavelength Extinction
254.0 63015.127324925415
254.5 62457.69627689845
255.0 61905.378375318134
255.5 61361.83020883296
256.0 60830.70836609142
256.5 60315.669435742006
257.0 59820.3700064332
257.5 59348.46666681351
258.0 58903.616005531425
258.5 58489.458429435865
259.0 58108.286811233585
259.5 57760.05402058635
260.0 57444.479096523806
260.5 57161.281078075604
261.0 56910.179004271406
261.5 56690.89191414083
262.0 56503.13884671358
262.5 56346.63884101926
263.0 56221.11093608753
263.5 56126.27417094805
264.0 56061.84758463045
264.5 56027.55021616441
265.0 56023.10110457957
265.5 56048.1530379269
266.0 56101.28496607999
266.5 56180.20484385778
267.0 56282.595501952004
267.5 56406.139771054426
268.0 56548.5204818568
268.5 56707.420465050884
269.0 56880.52255132842
269.5 57065.50957138117
270.0 57260.06435590087
270.5 57461.86973557929
271.0 57668.608541108166
271.5 57877.96360317926
272.0 58087.61775248432
272.5 58295.25381971509
273.0 58498.55463556335
273.5 58695.25362804151
274.0 58884.14451928621
274.5 59065.02685449257
275.0 59237.739872463106
275.5 59402.12281200033
276.0 59558.01491190676
276.5 59705.2554109849
277.0 59843.68354803727
277.5 59973.13856186637
278.0 60093.45969127472
278.5 60204.486175064834
279.0 60306.05725203923
279.5 60398.01216100041
280.0 60480.19014075089
280.5 60552.43043009318
281.0 60614.5722678298
281.5 60666.4646863711
282.0 60708.222182389625
282.5 60740.24918709631
283.0 60762.96483129634
283.5 60776.78824579488
284.0 60782.138561397114
284.5 60779.43490890821
285.0 60769.09641913334
285.5 60751.54222287771
286.0 60727.191450946455
286.5 60696.463234144765
287.0 60659.77670327782
287.5 60617.550989150805
288.0 60570.20522256888
288.5 60518.15853433723
289.0 60461.830055261016
289.5 60401.638916145435
290.0 60338.00424779564
290.5 60271.345181016826
291.0 60202.08084661415
291.5 60130.63037539281
292.0 60057.66157774918
292.5 59985.35627475958
293.0 59916.46606293628
293.5 59853.74357177587
294.0 59799.94143077497
294.5 59757.81226943017
295.0 59730.10871723809
295.5 59719.58340369531
296.0 59728.98895829846
296.5 59761.07801054413
297.0 59818.603189928916
297.5 59904.317125949434
298.0 60020.972448102286
298.5 60171.32178588407
299.0 60358.117768791395
299.5 60584.11302632086
300.0 60851.3942743551
300.5 61157.505815823526
301.0 61498.095457381576
301.5 61868.8046721912
302.0 62265.274933414345
302.5 62683.14771421293
303.0 63118.0644877489
303.5 63565.6667271842
304.0 64021.59590568078
304.5 64481.493496400544
305.0 64941.000972505455
305.5 65395.77906842299
306.0 65842.74573157047
306.5 66280.82833035362
307.0 66709.13438605636
307.5 67126.7714199627
308.0 67532.84695335658
308.5 67926.46850752192
309.0 68306.74360374267
309.5 68672.77976330282
310.0 69023.6845074863
310.5 69358.56535757706
311.0 69676.52983485903
311.5 69976.68546061621
312.0 70258.1397561325
312.5 70519.92161692488
313.0 70759.42990600753
313.5 70972.52678601966
314.0 71155.0144806049
314.5 71302.6952134068
315.0 71411.37120806894
315.5 71476.8446882349
316.0 71494.91787754821
316.5 71461.3929996525
317.0 71372.17450638703
317.5 71228.60332147959
318.0 71040.06872363732
318.5 70816.60993478126
319.0 70568.26617683245
319.5 70305.07667171187
320.0 70037.08064134057
320.5 69774.31730763956
321.0 69526.82589252986
321.5 69304.62496388113
322.0 69114.03858134532
322.5 68953.46091356663
323.0 68820.26006070091
323.5 68711.80412290408
324.0 68625.46120033204
324.5 68558.59939314067
325.0 68508.58680148587
325.5 68472.79152552351
326.0 68448.58166540951
326.5 68433.32532129975
327.0 68424.39059335015
327.5 68419.14558171657
328.0 68414.9583865549
328.5 68409.19710802105
329.0 68399.22984627092
329.5 68382.42470146038
330.0 68356.14977374535
330.5 68317.7731632817
331.0 68265.0205225743
331.5 68197.52155178381
332.0 68115.53723723695
332.5 68019.3289773242
333.0 67909.15817043606
333.5 67785.28621496298
334.0 67647.97450929544
334.5 67497.48445182394
335.0 67334.07744093891
335.5 67158.01487503086
336.0 66969.55815249025
336.5 66768.96867170757
337.0 66556.50783107326
337.5 66332.43702897786
338.0 66097.01766381178
338.5 65850.51113396553
339.0 65593.17883782959
339.5 65325.2821737944
340.0 65047.10354636804
340.5 64759.21616728564
341.0 64462.4056678281
341.5 64157.46252139392
342.0 63845.177201381535
342.5 63526.340181189415
343.0 63201.74193421604
343.5 62872.172933859845
344.0 62538.423653519334
344.5 62201.28456659293
345.0 61861.546146479115
345.5 61519.99886657636
346.0 61177.433200283114
346.5 60834.63962099785
347.0 60492.40860211904
347.5 60151.53061704513
348.0 59812.79613917459
348.5 59476.99564190589
349.0 59144.91959863749
349.5 58817.35848276785
350.0 58495.10276769544
350.5 58178.94292681872
351.0 57869.66943353616
351.5 57568.072761246214
352.0 57274.94338334736
352.5 56991.07177323804
353.0 56717.24840431675
353.5 56454.26374998192
354.0 56202.90828363202
354.5 55963.97247866554
355.0 55737.91121570563
355.5 55523.64286769162
356.0 55319.646326365415
356.5 55124.4004484263
357.0 54936.38409057351
357.5 54754.076109506306
358.0 54575.95536192395
358.5 54400.5007045257
359.0 54226.190994010794
359.5 54051.505087078505
360.0 53874.92184042808
360.5 53694.92011075878
361.0 53509.97875476985
361.5 53318.576629160554
362.0 53119.19259063015
362.5 52910.30549587789
363.0 52690.394201603034
363.5 52457.93756450483
364.0 52211.41444128253
364.5 51949.3036886354
365.0 51670.0841632627
365.5 51372.23472186367
366.0 51054.23422113758
366.5 50714.56151778367
367.0 50351.69546850121
367.5 49964.476736795215
368.0 49554.18379190377
368.5 49123.101710067334
369.0 48673.51873829384
369.5 48207.723123591204
370.0 47728.00311296738
370.5 47236.646953430274
371.0 46735.94289198784
371.5 46228.179175648
372.0 45715.64405141867
372.5 45200.62576630781
373.0 44685.41256732332
373.5 44172.292701473154
374.0 43663.55441576523
374.5 43161.485957207486
375.0 42668.37557280785
375.5 42186.51150957425
376.0 41718.18201451462
376.5 41265.56679130946
377.0 40829.27564365115
377.5 40408.73701189232
378.0 40003.35047520659
378.5 39612.51561276757
379.0 39235.63200374886
379.5 38872.099227324055
380.0 38521.31686266677
380.5 38182.6844889506
381.0 37855.60168534916
381.5 37539.46803103606
382.0 37233.68310518489
382.5 36937.64648696927
383.0 36650.757755562794
383.5 36372.41649013908
384.0 36102.02226987172
384.5 35838.97467393433
385.0 35582.6732815005
